month,day,FFMC,DMC,DC,ISI,Temperature,RH,wind,rain,outcome
6,1,65.7,3.4,7.6,1.3,29,57,0.5,0,0
6,2,64.4,4.1,7.6,1,29,61,0.4,1.3,0
6,3,47.1,2.5,7.1,0.3,26,82,0.1,13.1,0
6,4,28.6,1.3,6.9,0,25,89,0,2.5,0
6,5,64.8,3,14.2,1.2,27,77,0.5,0,0
6,6,82.6,5.8,22.2,3.1,31,67,2.5,0,1
6,7,88.2,9.9,30.5,6.4,33,54,7.2,0,1
6,8,86.6,12.1,38.3,5.6,30,73,7.1,0,1
6,9,52.9,7.9,38.8,0.4,25,88,0.3,0.2,0
6,10,73.2,9.5,46.3,1.3,28,79,0.9,0,0
6,11,84.5,12.5,54.3,4,31,65,5.6,0,1
6,12,84,13.8,61.4,4.8,26,81,7.1,0,1
6,13,50,6.7,17,0.5,27,84,0.2,1.2,0
6,14,59,4.6,7.8,1,30,78,0.4,0.5,0
6,15,49.4,3,7.4,0.4,28,80,0.1,3.1,0
6,16,36.1,1.7,7.6,0,29,89,0,0.7,0
6,17,37.3,1.1,7.8,0,30,89,0,0.6,0
6,18,56.9,1.9,8,0.7,31,78,0.2,0.3,0
6,19,79.9,4.5,16,2.5,31,55,1.4,0.1,0
6,20,59.8,3.4,27.1,0.9,30,80,0.4,0.4,0
6,21,81,6.3,31.6,2.6,30,78,2.2,0,1
6,22,79.1,7,39.5,2.4,31,67,2.3,0.1,0
6,23,81.4,8.2,47.7,3.3,32,62,3.8,0.1,1
6,24,85.9,11.2,55.8,5.6,32,66,7.5,0,1
6,25,86.7,14.2,63.8,5.7,31,64,8.4,0,1
6,26,86.8,17.8,71.8,6.7,31,64,10.6,0,1
6,27,89,21.6,80.3,9.2,34,53,15,0,1
6,28,89.1,25.5,88.5,7.6,32,55,13.9,0,1
6,29,79.9,18.4,84.4,2.2,32,47,3.9,0.3,0
6,30,88.7,22.9,92.8,7.2,33,50,12.9,0,1
7,1,59.9,2.5,8.6,1.1,29,68,0.4,1,0
7,2,55.7,2.4,8.3,0.8,27,75,0.3,1.2,0
7,3,63.1,2.6,9.2,1.3,32,76,0.5,0.7,0
7,4,80.1,4.6,18.5,2.7,33,78,1.7,0,0
7,5,85.9,7.6,27.9,4.8,33,66,4.9,0,1
7,6,87,10.9,37,5.6,32,63,6.8,0,1
7,7,80,9.7,40.4,2.8,35,64,3.2,0.2,0
7,8,85.6,12.5,49.8,6,33,68,8,0,1
7,9,66.6,7.7,9.2,1.1,32,68,0.6,1.4,0
